YrSold,HeatingQC,Street,YearRemodAdd,Heating,MasVnrType,BsmtUnfSF,Foundation,MasVnrArea,MSSubClass,ExterQual,Condition2,GarageCars,GarageType,OverallQual,TotalBsmtSF,BsmtFinSF1,HouseStyle,MiscFeature,MoSold
2007.0,TA,Pave,1975.0,GasA,,816.0,PConc,,20.0,Gd,Norm,2.0,Attchd,6.0,2035.0,1219.0,1Story,,3.0
2006.0,TA,Pave,1950.0,GasA,None,238.0,CBlock,0.0,50.0,TA,Norm,1.0,Attchd,6.0,806.0,403.0,1.5Fin,,8.0
2009.0,TA,Pave,1950.0,GasA,BrkCmn,524.0,CBlock,161.0,50.0,TA,Norm,1.0,Detchd,5.0,709.0,185.0,1.5Fin,,7.0
2008.0,Ex,Pave,1977.0,GasA,BrkFace,768.0,CBlock,299.0,60.0,TA,Norm,2.0,Attchd,7.0,1160.0,392.0,2Story,,3.0
2010.0,TA,Pave,1971.0,GasA,BrkFace,525.0,CBlock,381.0,160.0,TA,Norm,1.0,Detchd,6.0,525.0,0.0,2Story,,3.0
2009.0,TA,Pave,2006.0,GasW,None,310.0,BrkTil,0.0,30.0,TA,Norm,1.0,Detchd,5.0,1022.0,247.0,1Story,,6.0
2007.0,Ex,Pave,2007.0,GasA,Stone,556.0,PConc,84.0,20.0,Gd,Norm,3.0,Attchd,8.0,1485.0,929.0,1Story,,8.0
2007.0,TA,Pave,1950.0,GasA,None,780.0,PConc,0.0,50.0,TA,Norm,1.0,Detchd,6.0,780.0,0.0,1.5Fin,,12.0
2007.0,Ex,Pave,1996.0,GasA,None,300.0,PConc,0.0,60.0,Gd,Norm,3.0,Attchd,10.0,2396.0,2096.0,2Story,,7.0
2007.0,Ex,Pave,2004.0,GasA,None,312.0,PConc,0.0,160.0,Gd,Norm,2.0,Detchd,7.0,551.0,239.0,2Story,,3.0
2007.0,Ex,Pave,2007.0,GasA,None,1352.0,PConc,0.0,120.0,Gd,Norm,2.0,Attchd,7.0,1352.0,0.0,1Story,,4.0
2007.0,Fa,Pave,1976.0,GasA,BrkFace,1680.0,CBlock,164.0,90.0,TA,RRAn,2.0,Detchd,5.0,1680.0,0.0,1Story,,6.0
2009.0,Ex,Pave,1999.0,GasA,None,284.0,PConc,344.0,60.0,Gd,Norm,2.0,Attchd,7.0,978.0,694.0,2Story,,5.0
2006.0,TA,Pave,1967.0,GasA,None,95.0,CBlock,0.0,85.0,TA,Norm,1.0,Attchd,5.0,864.0,769.0,SFoyer,,12.0
2007.0,TA,Pave,1950.0,GasA,BrkFace,746.0,CBlock,206.0,20.0,TA,Norm,1.0,Detchd,6.0,1082.0,336.0,1Story,,11.0
2010.0,TA,Pave,1957.0,GasA,None,392.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,1314.0,922.0,1Story,,6.0
2010.0,Ex,Pave,1992.0,GasA,None,76.0,PConc,0.0,60.0,Gd,Norm,2.0,Attchd,7.0,750.0,674.0,2Story,,6.0
2007.0,Ex,Pave,1995.0,GasA,None,402.0,PConc,0.0,20.0,TA,Norm,0.0,,4.0,990.0,588.0,1Story,,8.0
2008.0,Gd,Pave,2006.0,GasA,None,1228.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,1228.0,0.0,1Story,,6.0
2009.0,Ex,Pave,2005.0,GasA,None,611.0,PConc,0.0,70.0,Gd,Norm,1.0,Attchd,7.0,910.0,299.0,2Story,,6.0
2010.0,Fa,Pave,1952.0,GasA,None,403.0,CBlock,0.0,50.0,TA,Norm,2.0,Detchd,5.0,910.0,507.0,1.5Fin,,6.0
2008.0,Ex,Pave,2004.0,GasA,BrkFace,186.0,PConc,169.0,120.0,Gd,Norm,2.0,Attchd,6.0,848.0,662.0,1Story,,6.0
2010.0,TA,Grvl,1963.0,GasA,None,0.0,CBlock,0.0,90.0,Fa,Norm,2.0,CarPort,5.0,816.0,104.0,1Story,,5.0
2009.0,Gd,Pave,1995.0,GasA,None,702.0,PConc,0.0,60.0,TA,Norm,2.0,Attchd,6.0,702.0,0.0,2Story,,3.0
2008.0,TA,Pave,1974.0,GasA,BrkFace,459.0,CBlock,270.0,60.0,Gd,Norm,2.0,Attchd,6.0,901.0,442.0,2Story,,7.0
2009.0,Gd,Pave,1986.0,GasA,None,700.0,BrkTil,0.0,70.0,Gd,Norm,2.0,Attchd,8.0,916.0,216.0,2Story,,11.0
2010.0,Ex,Pave,2000.0,GasA,BrkFace,378.0,PConc,216.0,160.0,Gd,Norm,2.0,Detchd,6.0,756.0,378.0,2Story,,6.0
2007.0,Gd,Pave,1970.0,GasA,None,0.0,CBlock,0.0,180.0,TA,Norm,0.0,,4.0,630.0,131.0,SFoyer,,12.0
2009.0,Ex,Pave,2008.0,GasA,Stone,464.0,PConc,340.0,20.0,Ex,Norm,3.0,Attchd,9.0,1698.0,1234.0,1Story,,2.0
2008.0,TA,Pave,1950.0,GasA,None,390.0,CBlock,0.0,50.0,TA,Norm,1.0,Detchd,5.0,832.0,442.0,1.5Fin,,10.0
2009.0,TA,Pave,1958.0,GasA,BrkFace,1584.0,CBlock,95.0,90.0,TA,Norm,3.0,Detchd,5.0,1584.0,0.0,1Story,,7.0
2009.0,Ex,Pave,1993.0,GasA,BrkFace,227.0,PConc,137.0,60.0,Gd,Norm,2.0,Attchd,7.0,740.0,513.0,2Story,,7.0
2007.0,Ex,Pave,1978.0,GasA,None,115.0,CBlock,0.0,85.0,TA,Norm,2.0,Attchd,6.0,888.0,773.0,SFoyer,,6.0
2008.0,Ex,Pave,2000.0,GasA,BrkFace,490.0,PConc,350.0,60.0,Gd,Norm,3.0,Attchd,8.0,1145.0,655.0,2Story,,12.0
2009.0,Ex,Pave,2008.0,GasA,Stone,2046.0,PConc,464.0,20.0,Gd,Norm,3.0,Attchd,8.0,2046.0,0.0,1Story,,7.0
2008.0,Ex,Pave,1997.0,GasA,None,125.0,PConc,0.0,60.0,TA,Norm,2.0,Attchd,7.0,729.0,604.0,2Story,,8.0
2007.0,Ex,Pave,2005.0,GasA,BrkFace,408.0,PConc,246.0,120.0,Ex,Norm,2.0,Attchd,9.0,1561.0,1153.0,1Story,,8.0
2007.0,TA,Pave,1972.0,GasA,None,276.0,CBlock,0.0,20.0,TA,Norm,2.0,Detchd,5.0,882.0,138.0,1Story,,3.0
2009.0,Ex,Pave,2004.0,GasA,None,912.0,PConc,0.0,60.0,Gd,Norm,2.0,BuiltIn,7.0,912.0,0.0,2Story,,11.0
2010.0,Ex,Pave,1995.0,GasA,BrkFace,431.0,PConc,362.0,60.0,Gd,Norm,2.0,Attchd,8.0,1463.0,1032.0,2Story,,4.0
2007.0,TA,Pave,2001.0,GasA,None,725.0,CBlock,0.0,20.0,TA,Norm,2.0,Attchd,6.0,1202.0,477.0,1Story,,6.0
2007.0,TA,Pave,1955.0,GasA,None,0.0,CBlock,0.0,80.0,TA,Norm,2.0,Detchd,5.0,384.0,384.0,SLvl,,2.0
2006.0,Ex,Pave,2005.0,GasA,None,1286.0,PConc,0.0,20.0,Gd,Norm,2.0,Attchd,7.0,1310.0,24.0,1Story,,7.0
2009.0,Ex,Pave,2005.0,GasA,Stone,797.0,PConc,42.0,20.0,Gd,Norm,3.0,Attchd,8.0,1836.0,1039.0,1Story,,3.0
2009.0,Ex,Pave,1996.0,GasA,BrkFace,773.0,PConc,506.0,60.0,Gd,Norm,3.0,Attchd,8.0,1462.0,689.0,2Story,,7.0
2007.0,TA,Pave,1964.0,GasA,BrkFace,1424.0,CBlock,84.0,90.0,TA,Norm,1.0,Detchd,5.0,1728.0,40.0,1Story,,11.0
2008.0,TA,Pave,1995.0,GasA,None,0.0,CBlock,0.0,20.0,TA,RRNn,2.0,Detchd,5.0,825.0,180.0,1Story,,6.0
2010.0,TA,Pave,1976.0,GasA,None,0.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,894.0,182.0,1Story,,2.0
2009.0,Gd,Pave,1978.0,GasA,BrkFace,192.0,CBlock,92.0,60.0,TA,Norm,2.0,Attchd,6.0,918.0,226.0,2Story,,7.0
2010.0,Ex,Pave,2006.0,GasA,None,0.0,CBlock,0.0,20.0,TA,Norm,1.0,Detchd,4.0,0.0,0.0,1Story,,4.0
2008.0,Ex,Pave,2004.0,GasA,BrkFace,556.0,PConc,664.0,60.0,Gd,Norm,3.0,BuiltIn,9.0,1572.0,1016.0,2Story,,3.0
2007.0,TA,Pave,1965.0,GasA,BrkFace,237.0,CBlock,168.0,20.0,TA,Norm,2.0,Attchd,5.0,1073.0,836.0,1Story,,6.0
2009.0,TA,Pave,1977.0,GasA,BrkFace,664.0,CBlock,360.0,20.0,TA,Norm,2.0,Attchd,6.0,1350.0,686.0,1Story,,4.0
2006.0,TA,Pave,1950.0,GasA,None,522.0,CBlock,0.0,30.0,TA,Norm,0.0,,4.0,788.0,266.0,1Story,,4.0
2009.0,Gd,Pave,1989.0,GasA,BrkFace,0.0,PConc,145.0,80.0,Gd,Norm,2.0,Attchd,7.0,1518.0,1518.0,SLvl,,8.0
2007.0,TA,Pave,1971.0,GasA,None,858.0,CBlock,0.0,20.0,TA,Norm,4.0,Detchd,4.0,858.0,0.0,1Story,,6.0
2007.0,Ex,Pave,2002.0,GasA,None,264.0,BrkTil,0.0,70.0,TA,Norm,2.0,Detchd,5.0,264.0,0.0,2Story,,5.0
2006.0,Ex,Pave,2005.0,GasA,None,893.0,PConc,0.0,60.0,Gd,Norm,3.0,Attchd,8.0,893.0,0.0,2Story,,6.0
2009.0,TA,Pave,1963.0,GasA,None,470.0,PConc,0.0,20.0,TA,Norm,2.0,Detchd,5.0,1121.0,651.0,1Story,,6.0
2008.0,Ex,Pave,1950.0,GasA,None,516.0,CBlock,0.0,20.0,TA,Norm,1.0,Detchd,5.0,789.0,104.0,1Story,,4.0
2010.0,Ex,Pave,1963.0,GasA,BrkFace,173.0,PConc,156.0,85.0,TA,Norm,2.0,Attchd,6.0,936.0,763.0,SFoyer,,5.0
2007.0,TA,Pave,1956.0,GasA,BrkFace,462.0,CBlock,120.0,20.0,TA,Norm,1.0,Attchd,5.0,1048.0,586.0,1Story,,6.0
2006.0,TA,Pave,1996.0,GasA,BrkFace,710.0,CBlock,64.0,20.0,TA,Norm,1.0,Attchd,5.0,1070.0,360.0,1Story,,5.0
2010.0,TA,Pave,1964.0,GasA,BrkFace,138.0,PConc,86.0,80.0,TA,Norm,2.0,Attchd,5.0,1152.0,1014.0,SLvl,,4.0
2008.0,Ex,Pave,1998.0,GasA,BrkFace,270.0,PConc,258.0,20.0,TA,Norm,2.0,Attchd,6.0,1408.0,1138.0,1Story,,10.0
2009.0,Gd,Pave,1957.0,GasA,None,628.0,CBlock,0.0,20.0,TA,Norm,2.0,Attchd,6.0,1478.0,189.0,1Story,,6.0
2007.0,TA,Pave,2000.0,GasA,None,551.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,928.0,377.0,1Story,,6.0
2009.0,Gd,Pave,2009.0,GasA,None,846.0,PConc,0.0,60.0,TA,Norm,2.0,Attchd,7.0,846.0,0.0,2Story,,7.0
2007.0,Ex,Pave,2003.0,GasA,None,661.0,PConc,0.0,50.0,TA,Norm,2.0,Detchd,5.0,661.0,0.0,1.5Fin,,11.0
2007.0,Ex,Pave,2003.0,GasA,None,847.0,PConc,0.0,60.0,Gd,Norm,2.0,BuiltIn,7.0,847.0,0.0,2Story,,10.0
2009.0,Ex,Pave,2005.0,GasA,None,291.0,PConc,0.0,60.0,Gd,Norm,2.0,Attchd,7.0,716.0,425.0,2Story,,7.0
2008.0,Ex,Pave,1950.0,GasA,None,140.0,BrkTil,0.0,190.0,TA,Artery,1.0,Attchd,5.0,991.0,851.0,1.5Unf,,1.0
2009.0,Fa,Pave,1952.0,GasW,None,0.0,Slab,0.0,20.0,TA,Norm,2.0,Detchd,3.0,0.0,0.0,1Story,,7.0
2007.0,Ex,Pave,2007.0,GasA,BrkFace,474.0,PConc,0.0,20.0,Gd,Norm,2.0,Attchd,8.0,1419.0,945.0,1Story,,10.0
2009.0,Ex,Pave,1956.0,GasA,None,672.0,CBlock,0.0,20.0,TA,Norm,1.0,Basment,4.0,672.0,0.0,1Story,,10.0
2007.0,Ex,Pave,2007.0,GasA,Stone,1638.0,PConc,274.0,20.0,Gd,Norm,3.0,Attchd,8.0,1638.0,0.0,1Story,,11.0
2006.0,TA,Pave,1962.0,GasA,None,141.0,CBlock,0.0,85.0,TA,Norm,1.0,Attchd,5.0,925.0,784.0,SFoyer,,5.0
2008.0,TA,Pave,1960.0,GasA,None,742.0,BrkTil,0.0,40.0,TA,Feedr,1.0,Detchd,5.0,742.0,0.0,1Story,Shed,8.0
2006.0,Ex,Pave,2006.0,GasA,BrkFace,1335.0,PConc,456.0,60.0,Gd,Norm,2.0,Attchd,7.0,1392.0,57.0,2Story,,3.0
2007.0,Ex,Pave,1991.0,GasA,BrkFace,452.0,CBlock,108.0,80.0,TA,Norm,1.0,Attchd,6.0,1302.0,270.0,SLvl,,10.0
2007.0,TA,Pave,1980.0,GasA,BrkFace,0.0,CBlock,180.0,90.0,TA,Norm,2.0,Detchd,5.0,936.0,936.0,SFoyer,,8.0
2009.0,Ex,Pave,2005.0,GasA,BrkFace,218.0,CBlock,90.0,20.0,Gd,Norm,1.0,Attchd,5.0,864.0,646.0,1Story,,7.0
2008.0,TA,Pave,1991.0,GasA,None,148.0,CBlock,0.0,190.0,TA,Norm,0.0,,5.0,1117.0,969.0,2Story,,1.0
2008.0,Ex,Pave,1995.0,GasA,None,304.0,PConc,0.0,20.0,TA,Norm,2.0,Detchd,5.0,990.0,686.0,1Story,,2.0
2007.0,TA,Pave,1994.0,GasA,None,977.0,CBlock,0.0,50.0,TA,Norm,0.0,,5.0,1598.0,152.0,1.5Fin,,3.0
2007.0,Ex,Pave,2003.0,GasA,None,638.0,PConc,0.0,20.0,Gd,Norm,2.0,Attchd,7.0,1337.0,699.0,1Story,,10.0
2006.0,TA,Pave,1950.0,GasA,None,672.0,PConc,0.0,50.0,TA,Norm,3.0,Detchd,3.0,672.0,0.0,1.5Fin,,1.0
2006.0,Ex,Pave,2006.0,GasA,Stone,1368.0,PConc,94.0,120.0,Gd,Norm,2.0,Attchd,7.0,1368.0,0.0,1Story,,3.0
2010.0,Ex,Pave,2009.0,GasA,None,1176.0,PConc,0.0,20.0,TA,Norm,2.0,Attchd,6.0,1212.0,36.0,1Story,,3.0
2008.0,Gd,Pave,1958.0,GasA,BrkFace,510.0,CBlock,135.0,20.0,TA,Norm,1.0,Attchd,6.0,1080.0,570.0,1Story,,6.0
2010.0,Ex,Pave,1998.0,GasA,BrkFace,299.0,PConc,116.0,60.0,TA,Norm,2.0,Attchd,6.0,804.0,505.0,2Story,,6.0
2006.0,TA,Pave,1976.0,GasA,BrkFace,84.0,PConc,120.0,60.0,TA,Norm,2.0,Attchd,6.0,796.0,712.0,2Story,,7.0
2006.0,Gd,Pave,1996.0,GasA,None,99.0,PConc,0.0,60.0,TA,Norm,2.0,Attchd,6.0,691.0,592.0,2Story,,7.0
2006.0,Ex,Pave,2002.0,GasA,None,216.0,PConc,0.0,60.0,Gd,Norm,2.0,BuiltIn,7.0,916.0,700.0,2Story,,6.0
2007.0,Ex,Pave,2007.0,GasA,BrkFace,1258.0,PConc,72.0,120.0,Gd,Norm,3.0,Attchd,7.0,1258.0,0.0,1Story,,6.0
2008.0,TA,Pave,1960.0,GasA,BrkFace,520.0,CBlock,212.0,20.0,TA,Norm,1.0,Attchd,6.0,1253.0,733.0,1Story,,5.0
2010.0,Ex,Pave,2005.0,GasA,BrkFace,761.0,PConc,109.0,20.0,Gd,Norm,2.0,Attchd,7.0,1473.0,712.0,1Story,,5.0
2008.0,Ex,Pave,1950.0,GasA,None,1163.0,BrkTil,0.0,50.0,TA,Norm,2.0,Detchd,6.0,1163.0,0.0,1.5Fin,,7.0
2009.0,Ex,Pave,1970.0,GasA,None,673.0,CBlock,0.0,20.0,TA,Norm,2.0,Detchd,4.0,864.0,191.0,1Story,,7.0
2008.0,TA,Pave,1992.0,GasA,None,1078.0,PConc,0.0,50.0,TA,Norm,2.0,Detchd,5.0,1078.0,0.0,1.5Fin,,6.0
2006.0,Ex,Pave,2005.0,GasA,None,434.0,PConc,0.0,20.0,Gd,Norm,2.0,Attchd,7.0,1734.0,1300.0,1Story,,1.0
2009.0,Ex,Pave,2003.0,GasA,BrkFace,0.0,Slab,500.0,85.0,Gd,Norm,2.0,BuiltIn,7.0,0.0,0.0,SFoyer,,7.0
2007.0,Ex,Pave,2006.0,GasA,BrkFace,0.0,PConc,98.0,20.0,TA,Norm,1.0,Attchd,5.0,0.0,0.0,1Story,,6.0
2009.0,TA,Pave,1977.0,GasA,BrkFace,155.0,CBlock,140.0,60.0,TA,Norm,2.0,Attchd,6.0,690.0,535.0,2Story,,7.0
2010.0,Gd,Pave,2003.0,GasA,None,624.0,BrkTil,0.0,30.0,TA,Norm,2.0,Detchd,6.0,624.0,0.0,1Story,,5.0
2006.0,Ex,Pave,1992.0,GasA,BrkFace,1288.0,CBlock,284.0,60.0,Gd,Norm,2.0,Attchd,8.0,1288.0,0.0,2Story,,4.0
2009.0,Ex,Pave,1995.0,GasA,None,64.0,Wood,0.0,50.0,TA,Norm,2.0,Attchd,5.0,796.0,732.0,1.5Fin,Shed,10.0
2006.0,Ex,Pave,1950.0,GasA,None,666.0,BrkTil,0.0,30.0,TA,Norm,1.0,Detchd,4.0,951.0,285.0,1Story,,4.0
2007.0,Ex,Pave,2007.0,GasA,None,783.0,PConc,0.0,60.0,Gd,Norm,2.0,Attchd,6.0,783.0,0.0,2Story,,7.0
2007.0,TA,Pave,2006.0,GasA,None,684.0,PConc,0.0,70.0,TA,Norm,0.0,,6.0,684.0,0.0,2Story,,3.0
2007.0,TA,Pave,2002.0,GasA,None,75.0,PConc,0.0,30.0,TA,Norm,1.0,Detchd,5.0,440.0,365.0,1Story,,3.0
2007.0,Gd,Pave,1961.0,GasA,BrkCmn,126.0,CBlock,192.0,20.0,TA,Norm,1.0,Attchd,4.0,1029.0,903.0,1Story,,4.0
2006.0,Gd,Pave,1971.0,GasA,BrkFace,409.0,CBlock,252.0,60.0,TA,Norm,2.0,Attchd,6.0,825.0,416.0,2Story,,6.0
2006.0,TA,Pave,1950.0,GasA,None,286.0,CBlock,0.0,190.0,TA,Norm,2.0,Detchd,5.0,793.0,507.0,1.5Fin,,5.0
2006.0,Ex,Pave,1999.0,GasA,BrkFace,241.0,PConc,218.0,160.0,Gd,Norm,2.0,Detchd,7.0,691.0,450.0,2Story,,3.0
2007.0,TA,Pave,1976.0,GasA,None,248.0,CBlock,0.0,160.0,TA,Norm,2.0,Detchd,6.0,804.0,556.0,2Story,,7.0
2009.0,Ex,Pave,2003.0,GasA,BrkFace,2336.0,PConc,922.0,20.0,Ex,Norm,3.0,Attchd,10.0,2392.0,56.0,1Story,,6.0
2010.0,Fa,Pave,1963.0,GasA,None,216.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,1040.0,824.0,1Story,,6.0
2009.0,TA,Pave,1968.0,GasA,BrkFace,448.0,CBlock,576.0,60.0,TA,Norm,1.0,Attchd,6.0,896.0,448.0,2Story,,6.0
2007.0,Ex,Pave,2006.0,GasA,None,1088.0,PConc,0.0,60.0,Gd,Norm,3.0,Attchd,8.0,1088.0,0.0,2Story,,12.0
2008.0,Ex,Pave,2005.0,GasA,BrkFace,400.0,PConc,120.0,20.0,TA,Norm,0.0,,7.0,1080.0,680.0,1Story,,4.0
2008.0,Ex,Pave,2007.0,GasA,None,689.0,PConc,0.0,160.0,Gd,Norm,2.0,Detchd,7.0,689.0,0.0,2Story,,2.0
2007.0,TA,Pave,1961.0,GasA,BrkFace,161.0,CBlock,57.0,20.0,TA,Norm,2.0,Detchd,5.0,988.0,827.0,1Story,,10.0
2008.0,Gd,Pave,1968.0,GasA,BrkFace,280.0,CBlock,342.0,60.0,TA,Norm,2.0,Attchd,7.0,832.0,552.0,2Story,,4.0
2006.0,Ex,Pave,1999.0,GasA,BrkFace,426.0,PConc,183.0,20.0,Gd,Norm,2.0,Attchd,7.0,1588.0,1162.0,1Story,,8.0
2010.0,Ex,Pave,2009.0,GasA,Stone,892.0,PConc,432.0,20.0,Ex,Norm,2.0,Attchd,7.0,1470.0,578.0,1Story,,6.0
2007.0,Ex,Pave,2007.0,GasA,BrkFace,2121.0,PConc,315.0,20.0,Ex,Norm,3.0,Attchd,9.0,2121.0,0.0,1Story,,5.0
2006.0,Ex,Pave,2006.0,GasA,None,1293.0,PConc,0.0,20.0,Gd,Norm,2.0,Attchd,7.0,1293.0,0.0,1Story,,8.0
2007.0,Ex,Pave,2007.0,GasA,,135.0,PConc,,120.0,Gd,Norm,2.0,Attchd,7.0,1241.0,1106.0,1Story,,11.0
2008.0,TA,Pave,1976.0,GasA,BrkFace,549.0,CBlock,160.0,20.0,TA,Norm,2.0,Attchd,6.0,1193.0,644.0,1Story,,5.0
2008.0,Ex,Pave,1998.0,GasA,BrkFace,35.0,PConc,200.0,90.0,TA,Norm,4.0,Attchd,7.0,1344.0,1309.0,SFoyer,,11.0
2007.0,Ex,Pave,2006.0,GasA,None,1240.0,PConc,0.0,20.0,Gd,Norm,3.0,Attchd,7.0,1240.0,0.0,1Story,,5.0
2009.0,TA,Pave,1979.0,GasA,None,0.0,Slab,0.0,90.0,TA,Norm,2.0,Detchd,5.0,0.0,0.0,2Story,,6.0
2007.0,Ex,Pave,1981.0,GasA,BrkFace,762.0,CBlock,310.0,20.0,Gd,Norm,2.0,Attchd,6.0,1440.0,678.0,1Story,,4.0
2006.0,Gd,Pave,1970.0,GasA,None,864.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,4.0,864.0,0.0,1Story,Shed,7.0
2009.0,Ex,Pave,1999.0,GasA,None,379.0,PConc,0.0,20.0,Gd,Norm,2.0,Attchd,7.0,1650.0,144.0,1Story,,6.0
2009.0,TA,Pave,1950.0,GasA,None,778.0,BrkTil,0.0,50.0,TA,Norm,1.0,Detchd,6.0,778.0,0.0,1.5Fin,,7.0
2007.0,Ex,Pave,2001.0,GasA,BrkFace,1349.0,PConc,108.0,20.0,TA,Norm,2.0,Attchd,7.0,1349.0,0.0,1Story,,12.0
2008.0,Ex,Pave,2000.0,GasA,None,901.0,CBlock,0.0,20.0,TA,Norm,1.0,Detchd,4.0,901.0,0.0,1Story,,8.0
2006.0,Ex,Pave,1992.0,GasA,None,374.0,PConc,0.0,60.0,Gd,Norm,2.0,Attchd,6.0,761.0,387.0,2Story,,7.0
2009.0,Ex,Pave,2004.0,GasA,None,1092.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,6.0,1092.0,0.0,1Story,,8.0
2006.0,Gd,Pave,2005.0,GasA,BrkFace,0.0,PConc,80.0,180.0,TA,Norm,2.0,Basment,5.0,547.0,547.0,SLvl,,5.0
2007.0,TA,Pave,1953.0,GasA,BrkFace,905.0,CBlock,184.0,20.0,TA,Norm,2.0,Basment,6.0,1809.0,35.0,1Story,,10.0
2009.0,TA,Pave,2008.0,GasA,None,364.0,CBlock,0.0,20.0,TA,Norm,2.0,Detchd,5.0,1040.0,532.0,1Story,,9.0
2008.0,TA,Pave,1969.0,GasA,None,0.0,CBlock,0.0,90.0,TA,Norm,2.0,CarPort,4.0,1198.0,1198.0,SFoyer,,1.0
2006.0,Gd,Pave,1994.0,GasA,BrkFace,179.0,PConc,112.0,60.0,TA,Norm,2.0,Attchd,6.0,697.0,518.0,2Story,,5.0
2009.0,Ex,Pave,2007.0,GasA,None,1450.0,PConc,0.0,20.0,Gd,Norm,3.0,Attchd,8.0,1466.0,16.0,1Story,,7.0
2008.0,Ex,Pave,2006.0,GasA,BrkFace,247.0,CBlock,54.0,20.0,Gd,Norm,1.0,Attchd,5.0,1053.0,806.0,1Story,,8.0
